symbol,instrument_token,tradingsymbol,name,last_price,lot_size
NSE:20MICRONS,4331777,20MICRONS,20 MICRONS,0,1
NSE:21STCENMGM,1025,21STCENMGM,21ST CENTURY MGMT SERVICE,0,1
NSE:360ONE,3343617,360ONE,360 ONE WAM,0,1
NSE:3BBLACKBIO,195204609,3BBLACKBIO,3B BLACKBIO DX,0,1
NSE:3IINFOLTD,1595393,3IINFOLTD,3I INFOTECH,0,1
NSE:3MINDIA,121345,3MINDIA,3M INDIA,0,1
NSE:3PLAND,664321,3PLAND,3P LAND HOLDINGS,0,1
NSE:5PAISA,113921,5PAISA,5PAISA CAPITAL,0,1
NSE:63MOONS,3038209,63MOONS,63 MOONS TECHNOLOGIES,0,1
NSE:A2ZINFRA,5351937,A2ZINFRA,A2Z INFRA ENGINEERING,0,1
NSE:AAATECH,3208449,AAATECH,AAA TECHNOLOGIES,0,1
NSE:AADHARHFC,6074625,AADHARHFC,AADHAR HOUSING FINANCE L,0,1
NSE:AAKASH,60161,AAKASH,AAKASH EXPLORATION SER L,0,1
NSE:AARNAV,195026177,AARNAV,AARNAV FASHIONS,0,1
NSE:AARON,263681,AARON,AARON INDUSTRIES,0,1
NSE:AARTIDRUGS,1147137,AARTIDRUGS,AARTI DRUGS,0,1
NSE:AARTIIND,1793,AARTIIND,AARTI INDUSTRIES,0,1
NSE:AARTIPHARM,3550209,AARTIPHARM,AARTI PHARMALABS,0,1
NSE:AARTISURF,4923649,AARTISURF,AARTI SURFACTANTS,0,1
NSE:AARVI,4882689,AARVI,AARVI ENCON,0,1
NSE:AAVAS,1378561,AAVAS,AAVAS FINANCIERS,0,1
NSE:AB10BKINAV,7835393,AB10BKINAV,BIRLASLAMC - AB10BKINAV,0,1
NSE:ABB,3329,ABB,ABB INDIA,0,1
NSE:ABBOTINDIA,4583169,ABBOTINDIA,ABBOTT INDIA,0,1
NSE:ABCAPITAL,5533185,ABCAPITAL,ADITYA BIRLA CAPITAL,0,1
NSE:ABCOTS,194337281,ABCOTS,A B COTSPIN INDIA,0,1
NSE:ABDL,6222849,ABDL,ALLIED BLEND N DISTILS L,0,1
NSE:ABFRL,7707649,ABFRL,ADITYA BIRLA FASHION & RT,0,1
NSE:ABGSECINAV,6249217,ABGSECINAV,BIRLASLAMC - ABGSECINAV,0,1
NSE:ABINFRA,6917121,ABINFRA,A B INFRABUILD,0,1
NSE:ABLBL,193751809,ABLBL,ADITYA BIRLA LIFES BRAN L,0,1
NSE:ABMINTLLTD,1420545,ABMINTLLTD,ABM INTERNATIONAL,0,1
NSE:ABMKNO,195207169,ABMKNO,A B M KNOWLEDGEWARE,0,1
NSE:ABREL,160001,ABREL,ADITYA BIRLA REAL EST,0,1
NSE:ABSL10BANK,194623233,ABSL10BANK,BIRLASLAMC - ABSL10BANK,0,1
NSE:ABSLAMC,1540609,ABSLAMC,ADIT BIRL SUN LIF AMC,0,1
NSE:ABSLLQINAV,3718145,ABSLLQINAV,BIRLASLAMC - ABSLLQINAV,0,1
NSE:ABSLMSCIN,194832897,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,0,1
NSE:ABSLNNINAV,2553089,ABSLNNINAV,ABSLNN50ET INAV,0,1
NSE:ABSMSCINAV,7834881,ABSMSCINAV,BIRLASLAMC - ABSMSCINAV,0,1
NSE:ABSPSEINAV,6095617,ABSPSEINAV,BIRLASLAMC-ABSPSEINAV,0,1
NSE:ACC,5633,ACC,ACC,0,1
NSE:ACCELYA,1805569,ACCELYA,ACCELYA SOLN INDIA,0,1
NSE:ACE,3478273,ACE,ACTION CONST EQUIP,0,1
NSE:ACEINTEG,3015425,ACEINTEG,ACE INTEGRATED SOLU.,0,1
NSE:ACI,3078145,ACI,ARCHEAN CHEMICAL IND,0,1
NSE:ACL,3947521,ACL,ANDHRA CEMENTS,0,1
NSE:ACMESOLAR,6927617,ACMESOLAR,ACME SOLAR HOLDINGS,0,1
NSE:ACSTECH,195208449,ACSTECH,A C S TECHNOLOGIES,0,1
NSE:ACUTAAS,1427969,ACUTAAS,ACUTAAS CHEMICALS,0,1
NSE:ADANIENSOL,2615553,ADANIENSOL,ADANI ENERGY SOLUTION,0,1
NSE:ADANIENT,6401,ADANIENT,ADANI ENTERPRISES,0,1
NSE:ADANIGREEN,912129,ADANIGREEN,ADANI GREEN ENERGY,0,1
NSE:ADANIPORTS,3861249,ADANIPORTS,ADANI PORT & SEZ,0,1
NSE:ADANIPOWER,4451329,ADANIPOWER,ADANI POWER,0,1
NSE:ADFFOODS,5058817,ADFFOODS,ADF FOODS,0,1
NSE:ADL,62721,ADL,ARCHIDPLY DECOR,0,1
NSE:ADOR,8705,ADOR,ADOR WELDING,0,1
NSE:ADROITINFO,1267969,ADROITINFO,ADROIT INFOTECH,0,1
NSE:ADSL,3792129,ADSL,ALLIED DIGITAL SERV.,0,1
NSE:ADVAIT,194728193,ADVAIT,ADVAIT ENRGY TRANSITION L,0,1
NSE:ADVANCE,194406913,ADVANCE,ADVANCE AGROLIFE,0,1
NSE:ADVANIHOTR,3774721,ADVANIHOTR,ADVANI HOT.& RES.(I),0,1
NSE:ADVENTHTL,194500865,ADVENTHTL,ADVENT HOTELS INTERNATI L,0,1
NSE:ADVENZYMES,4617985,ADVENZYMES,ADVANCED ENZYME TECH,0,1
NSE:AEGISLOG,10241,AEGISLOG,AEGIS LOGISTICS,0,1
NSE:AEGISVOPAK,193878017,AEGISVOPAK,AEGIS VOPAK TERMINALS,0,1
NSE:AEPL,194900481,AEPL,ARTEMIS ELECTRICALS & P L,0,1
NSE:AEQUS,194619905,AEQUS,AEQUS,0,1
NSE:AEROENTER,3075841,AEROENTER,AEROFLEX ENTERPRISES,0,1
NSE:AEROFLEX,4676609,AEROFLEX,AEROFLEX INDUSTRIES,0,1
NSE:AERONEU,3504385,AERONEU,AEROFLEX NEU,0,1
NSE:AETHER,2511361,AETHER,AETHER INDUSTRIES,0,1
NSE:AFCONS,6650113,AFCONS,AFCONS INFRASTRUCTURE,0,1
NSE:AFFLE,2903809,AFFLE,AFFLE 3I,0,1
NSE:AFSL,3401729,AFSL,ABANS FINANCIAL SRVCS,0,1
NSE:AGARIND,867585,AGARIND,AGARWAL INDS CORP,0,1
NSE:AGARWALEYE,7539713,AGARWALEYE,DR AGARWALS HEALTH CARE L,0,1
NSE:AGI,361473,AGI,AGI GREENPAC,0,1
NSE:AGIIL,6257921,AGIIL,AGI INFRA,0,1
NSE:AGROPHOS,2315777,AGROPHOS,AGRO PHOS INDIA,0,1
NSE:AHCL,194295809,AHCL,ANLON HEALTHCARE,0,1
NSE:AHLADA,513025,AHLADA,AHLADA ENGINEERS,0,1
NSE:AHLEAST,4976129,AHLEAST,ASIAN HOTELS (EAST),0,1
NSE:AHLUCONT,4565249,AHLUCONT,AHLUWALIA CONT IND,0,1
NSE:AIAENG,3350017,AIAENG,AIA ENGINEERING,0,1
NSE:AIIL,6029569,AIIL,AUTHUM INVEST & INFRA,0,1
NSE:AIRAN,2533633,AIRAN,AIRAN,0,1
NSE:AIROLAM,1553409,AIROLAM,AIRO LAM,0,1
NSE:AJANTPHARM,2079745,AJANTPHARM,AJANTA PHARMA,0,1
NSE:AJAXENGG,7583745,AJAXENGG,AJAX ENGINEERING,0,1
NSE:AJMERA,4430593,AJMERA,AJMERA REALTY & INF I,0,1
NSE:AJOONI,871169,AJOONI,AJOONI BIOTECH,0,1
NSE:AKASH,3458561,AKASH,AKASH INFRA-PROJECTS,0,1
NSE:AKCAPIT,195209729,AKCAPIT,A K CAPITAL SERVICES,0,1
NSE:AKG,557057,AKG,AKG EXIM,0,1
NSE:AKI,3811841,AKI,AKI INDIA,0,1
NSE:AKSHAR,2446849,AKSHAR,AKSHAR SPINTEX,0,1
NSE:AKUMS,6327041,AKUMS,AKUMS DRUGS AND PHARMA L,0,1
NSE:ALANKIT,2539777,ALANKIT,ALANKIT,0,1
NSE:ALBERTDAVD,4417537,ALBERTDAVD,ALBERT DAVID,0,1
NSE:ALEMBICLTD,20225,ALEMBICLTD,ALEMBIC,0,1
NSE:ALGOQUANT,194885121,ALGOQUANT,ALGOQUANT FINTECH,0,1
NSE:ALICON,3495937,ALICON,ALICON CASTALLOY,0,1
NSE:ALIVUS,1347841,ALIVUS,ALIVUS LIFE SCIENCES,0,1
NSE:ALKEM,2995969,ALKEM,ALKEM LABORATORIES,0,1
NSE:ALKYLAMINE,1148673,ALKYLAMINE,ALKYL AMINES CHEM.,0,1
NSE:ALLCARGO,3456257,ALLCARGO,ALLCARGO LOGISTICS,0,1
NSE:ALLDIGI,3020289,ALLDIGI,ALLDIGI TECH,0,1
NSE:ALLTIME,194162689,ALLTIME,ALL TIME PLASTICS,0,1
NSE:ALMONDZ,4280065,ALMONDZ,ALMONDZ GLOBAL SEC,0,1
NSE:ALOKINDS,4524801,ALOKINDS,ALOK INDUSTRIES,0,1
NSE:ALPA,3801089,ALPA,ALPA LABORATORIES,0,1
NSE:ALPHAGEO,3736833,ALPHAGEO,ALPHAGEO (INDIA),0,1
NSE:ALPHAINAV,5029121,ALPHAINAV,MIRAEAMC - ALPHAINAV,0,1
NSE:AMAGI,194749441,AMAGI,AMAGI MEDIA LABS,0,1
NSE:AMBALALSA,195211009,AMBALALSA,AMBALAL SARABHAI ENT L,0,1
NSE:AMBER,303361,AMBER,AMBER ENTERPRISES (I),0,1
NSE:AMBICAAGAR,2942977,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,0,1
NSE:AMBIKCO,3899905,AMBIKCO,AMBIKA COTTON MILL,0,1
NSE:AMBUJACEM,325121,AMBUJACEM,AMBUJA CEMENTS,0,1
NSE:AMDIND,3685889,AMDIND,AMD INDUSTRIES,0,1
NSE:AMIRCHAND,194987521,AMIRCHAND,AMIR CHAND JAG KUM (E) L,0,1
NSE:AMJLAND,665089,AMJLAND,AMJ LAND HOLDINGS,0,1
NSE:AMNPLST,5085953,AMNPLST,AMINES & PLASTICIZERS,0,1
NSE:AMRUTANJAN,4492033,AMRUTANJAN,AMRUTAJAN HEALTH,0,1
NSE:ANANDRATHI,1829121,ANANDRATHI,ANAND RATHI WEALTH,0,1
NSE:ANANTRAJ,3486721,ANANTRAJ,ANANT RAJ,0,1
NSE:ANDHRAPAP,42497,ANDHRAPAP,ANDHRA PAPER,0,1
NSE:ANDHRSUGAR,34817,ANDHRSUGAR,ANDHRA SUGARS,0,1
NSE:ANGELONE,82945,ANGELONE,ANGEL ONE,0,1
NSE:ANMOL,954113,ANMOL,ANMOL INDIA,0,1
NSE:ANTELOPUS,3481089,ANTELOPUS,ANTELOPUS SELAN ENRGY,0,1
NSE:ANTGRAPHIC,1329665,ANTGRAPHIC,ANTARCTICA,0,1
NSE:ANTHEM,194018561,ANTHEM,ANTHEM BIOSCIENCES,0,1
NSE:ANUHPHR,7248385,ANUHPHR,ANUH PHARMA,0,1
NSE:ANUP,2307585,ANUP,THE ANUP ENGINEERING,0,1
NSE:ANURAS,724225,ANURAS,ANUPAM RASAYAN INDIA,0,1
NSE:AOGOLDINAV,7819009,AOGOLDINAV,AONEAMC - AOGOLDINAV,0,1
NSE:AONE50INAV,7827713,AONE50INAV,AONEAMC - AONE50INAV,0,1
NSE:AONELIINAV,7801857,AONELIINAV,AONEAMC - AONELIINAV,0,1
NSE:AONENFINAV,7809537,AONENFINAV,AONEAMC - AONENFINAV,0,1
NSE:AONESIINAV,7835137,AONESIINAV,AONEAMC - AONESIINAV,0,1
NSE:AONESILVER,194609409,AONESILVER,AONEAMC - AONESILVER,0,1
NSE:AONETMMQ50,194557953,AONETMMQ50,AONEAMC - AONETMMQ50,0,1
NSE:AONETOINAV,7674369,AONETOINAV,AONEAMC - AONETOINAV,0,1
NSE:APARINDS,2941697,APARINDS,APAR INDUSTRIES,0,1
NSE:APCL,5235969,APCL,ANJANI PORTLAND CEM,0,1
NSE:APCOTEXIND,39425,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0,1
NSE:APEX,5535489,APEX,APEX FROZEN FOODS,0,1
NSE:APLAPOLLO,6599681,APLAPOLLO,APL APOLLO TUBES,0,1
NSE:APLLTD,6483969,APLLTD,ALEMBIC PHARMA,0,1
NSE:APOLLO,290305,APOLLO,APOLLO MICRO SYSTEMS,0,1
NSE:APOLLOHOSP,40193,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,1
NSE:APOLLOPIPE,3676417,APOLLOPIPE,APOLLO PIPES,0,1
NSE:APOLLOTYRE,41729,APOLLOTYRE,APOLLO TYRES,0,1
NSE:APOLSINHOT,1613313,APOLSINHOT,APOLLO SINDOORI HOTEL,0,1
NSE:APTUS,1391361,APTUS,APTUS VALUE HSG FIN I,0,1
NSE:AQYLON,5981441,AQYLON,AQYLON NEXUS,0,1
NSE:ARCHIDPLY,4299521,ARCHIDPLY,ARCHIDPLY IND.,0,1
NSE:ARCHIES,1456129,ARCHIES,ARCHIES,0,1
NSE:ARE&M,25601,ARE&M,AMARA RAJA ENERGY MOB,0,1
NSE:ARENTERP,46337,ARENTERP,RAJDARSHAN INDUSTRIES,0,1
NSE:ARFIN,194227201,ARFIN,ARFIN INDIA,0,1
NSE:ARIES,3892225,ARIES,ARIES AGRO,0,1
NSE:ARIHANT,3554561,ARIHANT,ARIHANT FOUN & HOU,0,1
NSE:ARIHANTCAP,976129,ARIHANTCAP,ARIHANT CAPITAL MKTS,0,1
NSE:ARIHANTSUP,5160705,ARIHANTSUP,ARIHANT SUPERSTRUCT,0,1
NSE:ARIS,193949185,ARIS,ARISINFRA SOLUTIONS,0,1
NSE:ARKADE,6501889,ARKADE,ARKADE DEVELOPERS,0,1
NSE:ARMANFIN,4419329,ARMANFIN,ARMAN FIN SERV,0,1
NSE:AROGRANITE,3726593,AROGRANITE,ARO GRANITE IND.,0,1
NSE:ARSSBL,194548737,ARSSBL,ANAND RATHI SH N STK BR L,0,1
NSE:ARTEMISMED,4329729,ARTEMISMED,ARTEMIS MED SERVICE,0,1
NSE:ARTNIRMAN,1575937,ARTNIRMAN,ART NIRMAN,0,1
NSE:ARVEE,720385,ARVEE,ARVEE LABORATORIES I,0,1
NSE:ARVIND,49409,ARVIND,ARVIND,0,1
NSE:ARVINDFASN,2332417,ARVINDFASN,ARVIND FASHIONS,0,1
NSE:ARVSMART,2676993,ARVSMART,ARVIND SMARTSPACES,0,1
NSE:ASAHIINDIA,1376769,ASAHIINDIA,ASAHI INDIA GLASS,0,1
NSE:ASAHISONG,6422529,ASAHISONG,ASAHI SONGWON COLOR,0,1
NSE:ASAL,2722305,ASAL,AUTOMOTIVE STAMPINGS & AS,0,1
NSE:ASALCBR,4505089,ASALCBR,ASSO ALCOHOLS & BREW,0,1
NSE:ASHAPURMIN,51969,ASHAPURMIN,ASHAPURA MINECHEM,0,1
NSE:ASHIANA,6247169,ASHIANA,ASHIANA HOUSING,0,1
NSE:ASHIKA,195212289,ASHIKA,ASHIKA CREDIT CAPITAL L,0,1
NSE:ASHIMASYN,52737,ASHIMASYN,ASHIMA,0,1
NSE:ASHOKA,5166593,ASHOKA,ASHOKA BUILDCON,0,1
NSE:ASHOKAMET,4337409,ASHOKAMET,ASHOKA METCAST,0,1
NSE:ASHOKLEY,54273,ASHOKLEY,ASHOK LEYLAND,0,1
NSE:ASIANENE,1799681,ASIANENE,ASIAN ENERGY SERVICES,0,1
